Date,Sagemont,Bammel
12/1/14 0:00,3.32,6.16
1/1/15 0:00,5.4,2.56
2/1/15 0:00,0.8,0.64
3/1/15 0:00,6.52,6.4
4/1/15 0:00,7.76,6.68
5/1/15 0:00,15,10.16
6/1/15 0:00,6.52,11.72
7/1/15 0:00,1.04,0.2
8/1/15 0:00,7.6,1.96
9/1/15 0:00,5.76,3
10/1/15 0:00,11.88,10.6
11/1/15 0:00,3.8,4.24
12/1/15 0:00,3.64,3.88
1/1/16 0:00,2.92,3.24
2/1/16 0:00,1.52,1.8
3/1/16 0:00,2.6,4.6
4/1/16 0:00,7.56,14.08
5/1/16 0:00,7.88,8.56
6/1/16 0:00,8.32,13.48
7/1/16 0:00,2.76,2.44
8/1/16 0:00,7.64,9.04
9/1/16 0:00,3.56,1.92
10/1/16 0:00,0.36,0.24
11/1/16 0:00,3.6,2.64
12/1/16 0:00,4.08,4.6
1/1/17 0:00,3.52,6.2
2/1/17 0:00,2,3.16
3/1/17 0:00,8.64,6.64
4/1/17 0:00,4.2,2.64
5/1/17 0:00,4,2.04
6/1/17 0:00,5.88,4.12
7/1/17 0:00,0.88,6.96
8/1/17 0:00,41.76,35.12
9/1/17 0:00,4.16,1
10/1/17 0:00,1.24,3
11/1/17 0:00,1.12,0.28
12/1/17 0:00,4.36,3.2
1/1/18 0:00,3.52,3.08
2/1/18 0:00,4.48,5
3/1/18 0:00,2.08,4.36
4/1/18 0:00,2.96,2.28
5/1/18 0:00,1.44,3.04
6/1/18 0:00,5.92,5.8
7/1/18 0:00,7.48,6.2
8/1/18 0:00,2.4,3.96
9/1/18 0:00,11.48,9.4
10/1/18 0:00,4.6,7.36
11/1/18 0:00,2.12,2.12
12/1/18 0:00,7.2,8.44
