Date,Sagemont,Bammel,Highland,Braeburn,Event
12/1/09 0:00,7.32,6.28,7.03,4.56,
1/1/10 0:00,2.8,2.01,3.26,1.77,
2/1/10 0:00,3.9,4.02,4.02,3.2,
3/1/10 0:00,2.12,3.12,2.68,2.8,
4/1/10 0:00,0.75,3.11,0.98,2.75,
5/1/10 0:00,2.68,2.95,7.61,6.66,
6/1/10 0:00,6.11,2.73,4.49,4.57,
7/1/10 0:00,14.53,11.58,8.86,12.44,
8/1/10 0:00,1.77,2.24,3.59,3.31,
9/1/10 0:00,6.9,7.97,4.41,6.54,
10/1/10 0:00,0,0.15,0.08,0.54,
11/1/10 0:00,5.17,1.22,4.05,3.32,
12/1/10 0:00,5.17,1.41,4.61,4.92,
1/1/11 0:00,4.08,0.52,4.24,2.76,
2/1/11 0:00,0.28,0.52,0.6,0.64,
3/1/11 0:00,0.68,1.16,1.44,0.68,
4/1/11 0:00,0,0.08,0.04,0.04,
5/1/11 0:00,0.16,0.44,0.2,0.72,
6/1/11 0:00,0.92,0.28,1.76,1.16,
7/1/11 0:00,2.56,1.76,3.04,1.24,
8/1/11 0:00,1.88,0.12,0.08,0.16,
9/1/11 0:00,0.68,2.36,1,3,
10/1/11 0:00,4.52,2.68,3.28,2.84,
11/1/11 0:00,3.24,2.44,0.76,2.24,
12/1/11 0:00,5.64,4.08,3.28,4.68,
1/1/12 0:00,4.44,5.08,3.96,8.6,
2/1/12 0:00,5.8,6.32,0.12,7,
3/1/12 0:00,5.96,5.28,5.08,4.8,
4/1/12 0:00,3.12,2.76,2.24,2.64,
5/1/12 0:00,7.76,1.12,4.4,7.36,
6/1/12 0:00,1.68,5.24,1.84,4.76,
7/1/12 0:00,10.44,6.52,6.68,7.8,
8/1/12 0:00,2.56,3.32,4.4,2.48,
9/1/12 0:00,3.68,2.04,3.84,3.52,
10/1/12 0:00,0.32,0.44,0.4,1.16,
11/1/12 0:00,1.08,0.44,1.08,1,
12/1/12 0:00,6.04,2.36,1.8,2.08,
1/1/13 0:00,4.04,4.2,2.92,3.24,
2/1/13 0:00,1.6,1.88,2.6,1.52,
3/1/13 0:00,0.76,0.84,0.92,1.2,
4/1/13 0:00,6.44,2.4,4.2,10.76,
5/1/13 0:00,2.44,0.72,4.64,2.8,
6/1/13 0:00,3.64,2.64,2.08,0.88,
7/1/13 0:00,5.2,4.12,6.24,2.64,
8/1/13 0:00,1.76,0.92,4.84,2.4,
9/1/13 0:00,4.96,6.32,0.48,4.2,
10/1/13 0:00,11.36,8.12,3.92,7.2,
11/1/13 0:00,5,3.6,3.24,4.92,
12/1/13 0:00,0.96,0.92,1.36,0.92,
1/1/14 0:00,0.64,1.16,0.52,1.12,
2/1/14 0:00,1.92,2.6,3.64,2.4,
3/1/14 0:00,3.32,2.72,2.84,2.4,
4/1/14 0:00,1.48,0.72,1.48,1.4,
5/1/14 0:00,9.16,13.44,9.12,9.56,
6/1/14 0:00,3.16,5.32,3.32,2.04,
7/1/14 0:00,4.6,2.76,1.36,5.6,
8/1/14 0:00,3.16,0.84,3.8,6.2,
9/1/14 0:00,4.72,6.04,15.24,7.44,
10/1/14 0:00,3.48,2.6,4.4,3.72,
11/1/14 0:00,4,3.04,4.6,3.36,
12/1/14 0:00,3.32,6.16,6.04,5.4,
1/1/15 0:00,5.4,2.56,6.4,3.92,
2/1/15 0:00,0.8,0.64,0.56,0.64,
3/1/15 0:00,6.52,6.4,7.72,6.12,
4/1/15 0:00,7.76,6.68,10.2,8.84,
5/1/15 0:00,15,10.16,14.28,19.16,
6/1/15 0:00,6.52,11.72,8.68,3.2,
7/1/15 0:00,1.04,0.2,1.4,0.08,
8/1/15 0:00,7.6,1.96,6.4,4.2,
9/1/15 0:00,5.76,3,4.84,5.24,
