Date,Bammel_trend,Bammel_yhat_lower,Bammel_yhat_upper,Bammel_trend_lower,Bammel_trend_upper,Bammel_additive_terms,Bammel_additive_terms_lower,Bammel_additive_terms_upper,Bammel_yearly,Bammel_yearly_lower,Bammel_yearly_upper,Bammel_multiplicative_terms,Bammel_multiplicative_terms_lower,Bammel_multiplicative_terms_upper,Bammel_yhat,Sagemont_trend,Sagemont_yhat_lower,Sagemont_yhat_upper,Sagemont_trend_lower,Sagemont_trend_upper,Sagemont_additive_terms,Sagemont_additive_terms_lower,Sagemont_additive_terms_upper,Sagemont_yearly,Sagemont_yearly_lower,Sagemont_yearly_upper,Sagemont_multiplicative_terms,Sagemont_multiplicative_terms_lower,Sagemont_multiplicative_terms_upper,Sagemont_yhat
2000-01-01,4.253357599740703,-4.821073129069784,10.698325866789464,4.253357599740703,4.253357599740703,-1.022193487698398,-1.022193487698398,-1.022193487698398,-1.022193487698398,-1.022193487698398,-1.022193487698398,0.0,0.0,0.0,3.231164112042305,4.432239219549145,-4.469483698236819,10.619706574801244,4.432239219549145,4.432239219549145,-1.169433585454274,-1.169433585454274,-1.169433585454274,-1.169433585454274,-1.169433585454274,-1.169433585454274,0.0,0.0,0.0,3.262805634094871
2000-02-01,4.253938360599587,-5.183705134397868,10.315796290476058,4.253938360599587,4.253938360599587,-1.522563056098466,-1.522563056098466,-1.522563056098466,-1.522563056098466,-1.522563056098466,-1.522563056098466,0.0,0.0,0.0,2.731375304501121,4.432972734081348,-4.721775376567641,9.989167283615476,4.432972734081348,4.432972734081348,-2.065402600657686,-2.065402600657686,-2.065402600657686,-2.065402600657686,-2.065402600657686,-2.065402600657686,0.0,0.0,0.0,2.367570133423662
2000-03-01,4.254481653015963,-4.841619981541471,10.602203064018328,4.254481653015963,4.254481653015963,-0.7192684744060597,-0.7192684744060597,-0.7192684744060597,-0.7192684744060597,-0.7192684744060597,-0.7192684744060597,0.0,0.0,0.0,3.5352131786099035,4.433658925095344,-4.3869479956307815,10.649968397142096,4.433658925095344,4.433658925095344,-1.2434158747897464,-1.2434158747897464,-1.2434158747897464,-1.2434158747897464,-1.2434158747897464,-1.2434158747897464,0.0,0.0,0.0,3.1902430503055976
2000-04-01,4.255062413874848,-3.701523420546485,12.492660444185498,4.255062413874848,4.255062413874848,-0.17815500874543236,-0.17815500874543236,-0.17815500874543236,-0.17815500874543236,-0.17815500874543236,-0.17815500874543236,0.0,0.0,0.0,4.076907405129416,4.434392439627548,-3.740042143694546,11.913567998055655,4.434392439627548,4.434392439627548,-0.3766534961660897,-0.3766534961660897,-0.3766534961660897,-0.3766534961660897,-0.3766534961660897,-0.3766534961660897,0.0,0.0,0.0,4.057738943461458
2000-05-01,4.255624440512478,-3.25091467498814,12.873647535478716,4.255624440512478,4.255624440512478,0.2882285287460823,0.2882285287460823,0.2882285287460823,0.2882285287460823,0.2882285287460823,0.2882285287460823,0.0,0.0,0.0,4.543852969258561,4.435102292400647,-2.980539101094214,12.802189139983023,4.435102292400647,4.435102292400647,0.2616324358834838,0.2616324358834838,0.2616324358834838,0.2616324358834838,0.2616324358834838,0.2616324358834838,0.0,0.0,0.0,4.696734728284131
2000-06-01,4.256205201371363,-1.6750152182322742,13.940926524158133,4.256205201371363,4.256205201371363,1.754985440987135,1.754985440987135,1.754985440987135,1.754985440987135,1.754985440987135,1.754985440987135,0.0,0.0,0.0,6.011190642358498,4.435835806932849,-2.3184956762929647,13.786857366547482,4.435835806932849,4.435835806932849,1.18985445785965,1.18985445785965,1.18985445785965,1.18985445785965,1.18985445785965,1.18985445785965,0.0,0.0,0.0,5.6256902647925
2000-07-01,4.256767228008993,-3.12294218439663,12.874780764187452,4.256767228008993,4.256767228008993,0.8306409322747291,0.8306409322747291,0.8306409322747291,0.8306409322747291,0.8306409322747291,0.8306409322747291,0.0,0.0,0.0,5.087408160283722,4.436545659705949,-2.362917719690923,13.006705107183107,4.436545659705949,4.436545659705949,1.0420961399945066,1.0420961399945066,1.0420961399945066,1.0420961399945066,1.0420961399945066,1.0420961399945066,0.0,0.0,0.0,5.478641799700456
2000-08-01,4.257347988867878,-2.5240984441127847,12.350393077928056,4.257347988867878,4.257347988867878,0.7741443184004041,0.7741443184004041,0.7741443184004041,0.7741443184004041,0.7741443184004041,0.7741443184004041,0.0,0.0,0.0,5.031492307268282,4.437279174238152,-0.5220881273787393,14.837513197979042,4.437279174238152,4.437279174238152,2.969203542247263,2.969203542247263,2.969203542247263,2.969203542247263,2.969203542247263,2.969203542247263,0.0,0.0,0.0,7.4064827164854155
2000-09-01,4.257928749620504,-3.3994074759442814,12.099003310627063,4.257928749620504,4.257928749620504,-0.006328356691825313,-0.006328356691825313,-0.006328356691825313,-0.006328356691825313,-0.006328356691825313,-0.006328356691825313,0.0,0.0,0.0,4.251600392928679,4.438012689226402,-3.9622503232063115,12.266324069477276,4.438012689226402,4.438012689226402,-0.1879834924691929,-0.1879834924691929,-0.1879834924691929,-0.1879834924691929,-0.1879834924691929,-0.1879834924691929,0.0,0.0,0.0,4.250029196757209
2000-10-01,4.258490776155305,-2.7603541161682146,13.405155785084041,4.258490776155305,4.258490776155305,1.2372868028161421,1.2372868028161421,1.2372868028161421,1.2372868028161421,1.2372868028161421,1.2372868028161421,0.0,0.0,0.0,5.495777578971447,4.4387225424408365,-2.573969574603207,13.236001750438172,4.4387225424408365,4.4387225424408365,0.8215579427845403,0.8215579427845403,0.8215579427845403,0.8215579427845403,0.8215579427845403,0.8215579427845403,0.0,0.0,0.0,5.260280485225377
